PDB_ID	antigen_name	CF_H1	CF_H2	CF_L1	CF_L2	CF_L3
7wkx	interleukin-17a	H1-7-seq_526	H2-6-seq_407	L1-16-seq_15	L2-7-seq_589	L3-9-seq_326
7wn2	spike_protein_s1	H1-7-seq_577	H2-6-seq_366	L1-11-seq_225	L2-7-seq_65	L3-9-seq_130
7wn8	leukocyte_surface_antigen_cd47	H1-7-seq_65	H2-6-seq_290	L1-12-seq_36	L2-7-seq_449	L3-9-seq_161
7wnb	spike_protein_s1	H1-7-seq_36		L1-11-seq_56	L2-7-seq_65	L3-10-seq_51
7wo4	spike_glycoprotein	H1-7-seq_65	H2-6-seq_313	L1-13-seq_5	L2-7-seq_226	L3-11-seq_48
7woa	spike_glycoprotein	H1-7-seq_323	H2-6-seq_248	L1-12-seq_50	L2-7-seq_33	L3-9-seq_255
7wog	spike_protein_s1	H1-7-seq_65	H2-6-seq_257	L1-13-seq_5	L2-7-seq_226	L3-10-seq_92
7wos	spike_glycoprotein	H1-7-seq_513		L1-14-seq_55	L2-7-seq_97	L3-11-seq_110
7wp0	spike_protein_s1	H1-7-seq_325	H2-6-seq_250	L1-14-seq_34	L2-7-seq_545	L3-11-seq_91
7wph	spike_protein_s1	H1-8-seq_14		L1-14-seq_53	L2-7-seq_450	L3-10-seq_152
7wqv	spike_protein_s1	H1-7-seq_549	H2-6-seq_203	L1-14-seq_34	L2-7-seq_545	L3-11-seq_91
7wr9	spike_protein_s1	H1-7-seq_261	H2-6-seq_198	L1-11-seq_159	L2-7-seq_294	L3-11-seq_39
7wrj	spike_protein_s1	H1-9-seq_30		L1-13-seq_4	L2-7-seq_334	L3-11-seq_4
7ws1	spike_glycoprotein	H1-7-seq_321	H2-6-seq_269	L1-11-seq_33	L2-7-seq_387	L3-10-seq_99
7wsc	spike_protein_s1	H1-7-seq_241	H2-6-seq_190	L1-16-seq_31	L2-7-seq_36	L3-9-seq_360
7wsl	programmed_cell_death_protein_1	H1-7-seq_65	H2-6-seq_175	L1-11-seq_144	L2-7-seq_267	L3-9-seq_319
7wt7	spike_glycoprotein	H1-7-seq_129		L1-11-seq_151	L2-7-seq_257	L3-9-seq_227
7wtf	spike_glycoprotein	H1-7-seq_450	H2-6-seq_419	L1-11-seq_383	L2-7-seq_65	L3-9-seq_168
7wwl	spike_glycoprotein	H1-7-seq_577	H2-6-seq_129	L1-11-seq_202	L2-7-seq_290	L3-10-seq_68
7wwm	spike_glycoprotein	H1-7-seq_420	H2-6-seq_309	L1-11-seq_35	L2-7-seq_464	L3-9-seq_164
7x08	spike_glycoprotein	H1-7-seq_103		L1-14-seq_82	L2-7-seq_97	L3-10-seq_65
7x25	spike_glycoprotein	H1-7-seq_549	H2-6-seq_483	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
7x7o	spike_protein_s1	H1-7-seq_415	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
7x8w	spike_glycoprotein	H1-7-seq_280	H2-6-seq_213	L1-14-seq_53	L2-7-seq_97	L3-10-seq_65
7x8y	spike_glycoprotein	H1-7-seq_281	H2-8-seq_4	L1-11-seq_35	L2-7-seq_235	L3-9-seq_169
7x90	spike_glycoprotein	H1-7-seq_420	H2-6-seq_386	L1-11-seq_35	L2-7-seq_65	L3-9-seq_170
7x91	spike_glycoprotein	H1-7-seq_283	H2-6-seq_97	L1-11-seq_384	L2-7-seq_257	L3-10-seq_80
7x92	spike_glycoprotein	H1-7-seq_284	H2-6-seq_364	L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
7x95	spike_glycoprotein	H1-7-seq_65	H2-6-seq_165	L1-13-seq_2	L2-7-seq_253	L3-10-seq_17
7xcz	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_162	L2-7-seq_65	L3-9-seq_148
7xdl	spike_glycoprotein	H1-7-seq_227	H2-6-seq_168	L1-11-seq_70	L2-7-seq_258	L3-9-seq_136
7xic	spike_glycoprotein	H1-7-seq_321	H2-6-seq_335	L1-11-seq_337	L2-7-seq_386	L3-10-seq_148
7xj6	spike_glycoprotein	H1-7-seq_486	H2-6-seq_97	L1-11-seq_70	L2-7-seq_33	L3-9-seq_79
7xjf	leukocyte_surface_antigen_cd47	H1-7-seq_349	H2-6-seq_130	L1-11-seq_384	L2-7-seq_68	L3-9-seq_111
7xmz	spike_glycoprotein	H1-7-seq_224	H2-6-seq_222	L1-13-seq_33	L2-7-seq_324	L3-11-seq_51
7xs8	spike_protein_s1	H1-7-seq_578		L1-11-seq_225	L2-7-seq_235	L3-8-seq_21
7xsa	spike_protein_s1	H1-9-seq_37		L1-14-seq_35	L2-7-seq_577	L3-9-seq_126
7xsb	spike_protein_s1	H1-7-seq_201	H2-6-seq_129	L1-13-seq_19	L2-7-seq_226	L3-9-seq_127
7xsc	spike_protein_s1	H1-7-seq_513		L1-11-seq_384	L2-7-seq_218	L3-9-seq_227
7y0c	spike_protein_s1	H1-7-seq_549	H2-6-seq_228	L1-12-seq_24	L2-7-seq_33	L3-10-seq_83
7y0v	spike_protein_s1	H1-9-seq_31		L1-11-seq_180	L2-7-seq_336	L3-10-seq_84
7y0w	spike_protein_s1	H1-7-seq_29	H2-6-seq_68	L1-11-seq_384	L2-7-seq_642	L3-10-seq_85
7y3n	spike_protein_s1	H1-7-seq_321	H2-6-seq_91	L1-11-seq_35	L2-7-seq_184	L3-9-seq_292
7y6l	spike_glycoprotein	H1-7-seq_659	H2-6-seq_126	L1-11-seq_113	L2-7-seq_705	L3-8-seq_20
7yck	spike_protein_s1	H1-7-seq_65	H2-6-seq_386	L1-13-seq_5	L2-7-seq_226	L3-9-seq_311
7ycl	spike_protein_s1	H1-7-seq_577	H2-6-seq_232	L1-11-seq_384	L2-7-seq_257	L3-9-seq_158
7ycn	spike_protein_s1	H1-7-seq_517		L1-13-seq_5	L2-7-seq_226	L3-9-seq_159
7ycy	spike_glycoprotein	H1-9-seq_17		L1-14-seq_31	L2-7-seq_577	L3-9-seq_80
7yds	programmed_cell_death_1_ligand_1	H1-7-seq_168		L1-13-seq_13	L2-7-seq_193	L3-10-seq_43
7yh6	spike_protein_s1	H1-7-seq_169	H2-6-seq_120	L1-14-seq_34	L2-7-seq_194	L3-11-seq_26
7ykj	spike_glycoprotein	H1-7-seq_277	H2-6-seq_211	L1-12-seq_39	L2-7-seq_33	L3-10-seq_78
7yr1	spike_glycoprotein	H1-7-seq_641		L1-11-seq_33	L2-7-seq_65	L3-9-seq_181
7yrn	envelope_glycoprotein_b	H1-7-seq_158	H2-6-seq_112	L1-11-seq_340	L2-7-seq_180	L3-9-seq_169
7ytn	spike_protein_s1	H1-7-seq_174	H2-6-seq_124	L1-11-seq_260	L2-7-seq_641	L3-11-seq_28
7yve	spike_glycoprotein	H1-9-seq_23		L1-13-seq_14	L2-7-seq_710	L3-11-seq_14
7yvg	spike_glycoprotein	H1-7-seq_175		L1-11-seq_228	L2-7-seq_33	L3-11-seq_8
7yvi	spike_glycoprotein	H1-7-seq_176	H2-6-seq_125	L1-14-seq_53	L2-7-seq_450	L3-11-seq_31
7yvk	spike_glycoprotein	H1-9-seq_24		L1-14-seq_31	L2-7-seq_97	L3-9-seq_107
7yxu	tumor_necrosis_factor_receptor_superfamily_member_9	H1-7-seq_265	H2-6-seq_201	L1-11-seq_33	L2-7-seq_65	L3-9-seq_160
7z0x	surface_glycoprotein	H1-7-seq_513		L1-14-seq_101	L2-7-seq_97	L3-10-seq_25
7z2m	interleukin-17a	H1-7-seq_259	H2-6-seq_196	L1-11-seq_3	L2-7-seq_290	L3-9-seq_156
7zbu	spike_glycoprotein	H1-7-seq_554	H2-6-seq_238	L1-12-seq_1	L2-7-seq_33	L3-10-seq_89
7zfd	spike_protein_s1	H1-7-seq_321	H2-6-seq_193	L1-11-seq_33	L2-7-seq_740	L3-9-seq_407
7zr9	spike_glycoprotein,fibritin	H1-7-seq_549	H2-6-seq_466	L1-12-seq_1	L2-7-seq_33	L3-9-seq_5
7zrc	spike_glycoprotein,fibritin	H1-7-seq_520	H2-6-seq_401	L1-11-seq_301	L2-7-seq_257	L3-10-seq_135
8a96	spike_protein_s1	H1-7-seq_258	H2-6-seq_147	L1-12-seq_69	L2-7-seq_33	L3-9-seq_128
8as0	programmed_cell_death_protein_1	H1-7-seq_65	H2-6-seq_257	L1-11-seq_33	L2-7-seq_65	L3-9-seq_176
8bbn	spike_protein_s1	H1-7-seq_224	H2-6-seq_193	L1-11-seq_232	L2-7-seq_65	L3-9-seq_133
8bbo	spike_glycoprotein	H1-9-seq_28		L1-11-seq_376	L2-7-seq_255	L3-8-seq_22
8bcz	spike_protein_s1	H1-7-seq_65	H2-6-seq_386	L1-11-seq_384	L2-7-seq_257	L3-9-seq_222
8bec	spike_protein_s1	H1-7-seq_140		L1-12-seq_1	L2-7-seq_33	L3-9-seq_5
8bg1	spike_protein_s1	H1-7-seq_321	H2-6-seq_96	L1-16-seq_33	L2-7-seq_151	L3-8-seq_14
8bg2	spike_protein_s1	H1-7-seq_36		L1-12-seq_20	L2-7-seq_33	L3-9-seq_308
8bg3	spike_protein_s1	H1-7-seq_134		L1-14-seq_23	L2-7-seq_97	L3-10-seq_33
8bg4	spike_protein_s1	H1-7-seq_175		L1-11-seq_225	L2-7-seq_65	L3-10-seq_153
8bg8	spike_glycoprotein	H1-7-seq_136	H2-6-seq_97	L1-12-seq_86	L2-7-seq_33	L3-9-seq_79
8bse	spike_glycoprotein	H1-7-seq_513		L1-11-seq_384	L2-7-seq_225	L3-9-seq_227
8bsf	spike_protein_s1	H1-7-seq_577	H2-6-seq_34	L1-13-seq_18	L2-7-seq_226	L3-11-seq_32
8c0y	spike_protein_s2'	H1-7-seq_610		L1-11-seq_38	L2-7-seq_33	L3-9-seq_255
8cbd	spike_protein_s1	H1-7-seq_119	H2-6-seq_386	L1-11-seq_33	L2-7-seq_65	L3-10-seq_147
8cbe	spike_protein_s1	H1-7-seq_120	H2-6-seq_386	L1-11-seq_33	L2-7-seq_136	L3-9-seq_75
8cim	spike_glycoprotein,fibritin	H1-7-seq_233	H2-6-seq_123	L1-11-seq_33	L2-7-seq_197	L3-9-seq_105
8cin	spike_glycoprotein	H1-7-seq_115		L1-14-seq_101	L2-7-seq_97	L3-10-seq_25
8csj	spike_glycoprotein	H1-7-seq_65	H2-6-seq_536	L1-14-seq_34	L2-7-seq_641	L3-11-seq_91
8cw9	fusion_glycoprotein_f0	H1-9-seq_7		L1-11-seq_190	L2-7-seq_354	L3-11-seq_46
8cwi	spike_protein_s1	H1-7-seq_65	H2-6-seq_385	L1-11-seq_123	L2-7-seq_673	L3-9-seq_43
8cwj	spike_glycoprotein	H1-7-seq_191	H2-6-seq_139	L1-11-seq_384	L2-7-seq_221	L3-9-seq_119
8cwk	spike_protein_s1	H1-7-seq_193	H2-6-seq_140	L1-11-seq_125	L2-7-seq_65	L3-9-seq_120
8d48	spike_glycoprotein	H1-7-seq_268	H2-6-seq_321	L1-17-seq_24	L2-7-seq_449	L3-9-seq_100
8dad	spike_glycoprotein	H1-7-seq_306	H2-6-seq_97	L1-12-seq_1	L2-7-seq_749	L3-9-seq_184
8dcc	spike_protein_s1	H1-8-seq_6		L1-14-seq_53	L2-7-seq_97	L3-10-seq_65
8dce	spike_protein_s1	H1-7-seq_637		L1-14-seq_53	L2-7-seq_450	L3-10-seq_111
8dg8	fusion_glycoprotein_f0	H1-7-seq_65	H2-6-seq_181	L1-11-seq_147	L2-7-seq_110	L3-11-seq_36
8dg9	fusion_glycoprotein_f0	H1-7-seq_244	H2-6-seq_261	L1-14-seq_34	L2-7-seq_194	L3-11-seq_37
8dlr	spike_glycoprotein	H1-7-seq_307	H2-6-seq_483	L1-11-seq_386	L2-7-seq_167	L3-9-seq_185
8dlw	spike_glycoprotein	H1-7-seq_603	H2-6-seq_235	L1-12-seq_1	L2-7-seq_33	L3-9-seq_186
8dm3	spike_glycoprotein	H1-7-seq_293	H2-6-seq_484	L1-16-seq_15	L2-7-seq_71	L3-9-seq_163
8dnn	spike_protein_s1	H1-7-seq_378	H2-6-seq_419	L1-17-seq_24	L2-7-seq_449	L3-9-seq_258
8dv6	envelope_protein_e	H1-7-seq_274	H2-6-seq_209	L1-14-seq_53	L2-7-seq_307	L3-10-seq_76
8dw9	spike_protein_s1	H1-7-seq_285	H2-6-seq_217	L1-12-seq_40	L2-7-seq_33	L3-9-seq_172
8dwa	spike_protein_s1	H1-7-seq_286	H2-6-seq_218	L1-11-seq_172	L2-7-seq_65	L3-9-seq_173
8dww	e2_glycoprotein	H1-7-seq_65	H2-6-seq_131	L1-11-seq_33	L2-7-seq_65	L3-9-seq_208
8dwx	e2_glycoprotein	H1-9-seq_26		L1-11-seq_162	L2-7-seq_65	L3-9-seq_113
8dwy	e2_glycoprotein	H1-7-seq_386	H2-6-seq_132	L1-14-seq_33	L2-7-seq_213	L3-9-seq_114
8dxs	spike_glycoprotein	H1-7-seq_287	H2-6-seq_219	L1-11-seq_88	L2-7-seq_65	L3-9-seq_174
8dxt	spike_protein_s1	H1-7-seq_65	H2-6-seq_257	L1-11-seq_164	L2-7-seq_740	L3-8-seq_24
8dy1	interleukin-17a	H1-7-seq_203	H2-6-seq_257	L1-13-seq_32	L2-7-seq_710	L3-9-seq_199
8dyw	circumsporozoite_protein	H1-7-seq_162	H2-6-seq_117	L1-11-seq_105	L2-7-seq_187	L3-10-seq_41
8dyy	circumsporozoite_protein	H1-7-seq_163	H2-6-seq_364	L1-11-seq_70	L2-7-seq_578	L3-10-seq_31
8dz3	circumsporozoite_protein	H1-7-seq_65	H2-6-seq_116	L1-11-seq_228	L2-7-seq_33	L3-8-seq_18
8dz4	circumsporozoite_protein	H1-7-seq_165	H2-6-seq_117	L1-11-seq_108	L2-7-seq_33	L3-8-seq_19
8dzh	spike_glycoprotein	H1-7-seq_65	H2-6-seq_34	L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
8e1g	spike_protein_s1	H1-7-seq_610		L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
8e2u	fusion_glycoprotein_f0	H1-7-seq_65	H2-6-seq_231	L1-14-seq_27	L2-7-seq_181	L3-10-seq_39
8e6j	neuraminidase	H1-9-seq_21		L1-11-seq_33	L2-7-seq_184	L3-9-seq_292
8e6k	neuraminidase	H1-9-seq_22		L1-11-seq_103	L2-7-seq_185	L3-10-seq_99
8eay	fusion_glycoprotein_f0	H1-7-seq_160		L1-11-seq_386	L2-7-seq_167	L3-8-seq_16
8ekd	spike_protein_s2'	H1-7-seq_87	H2-8-seq_7	L1-17-seq_24	L2-7-seq_131	L3-8-seq_12
8el2	spike_protein_s1	H1-7-seq_603	H2-6-seq_121	L1-14-seq_29	L2-7-seq_450	L3-10-seq_146
8eoo	spike_protein_s1	H1-7-seq_65	H2-6-seq_385	L1-13-seq_5	L2-7-seq_207	L3-9-seq_243
8eqf	spike_protein_s1	H1-7-seq_65	H2-6-seq_318	L1-11-seq_88	L2-7-seq_65	L3-9-seq_88
8erq	spike_glycoprotein	H1-9-seq_29		L1-14-seq_35	L2-7-seq_332	L3-9-seq_180
8ez7	neuraminidase	H1-7-seq_137	H2-6-seq_98	L1-12-seq_22	L2-7-seq_33	L3-10-seq_35
8ez8	neuraminidase	H1-7-seq_138		L1-13-seq_2	L2-7-seq_710	L3-11-seq_14
8ezk	25_kda_ookinete_surface_antigen	H1-8-seq_3		L1-13-seq_12	L2-7-seq_100	L3-11-seq_14
8f0h	spike_glycoprotein	H1-7-seq_321	H2-6-seq_193	L1-11-seq_130	L2-7-seq_484	L3-11-seq_53
8f0i	spike_protein_s1	H1-7-seq_65	H2-6-seq_385	L1-11-seq_33	L2-7-seq_740	L3-10-seq_13
8f2j	spike_protein_s1	H1-7-seq_554	H2-6-seq_385	L1-11-seq_386	L2-7-seq_353	L3-11-seq_20
8f2x	spike_protein_s1	H1-7-seq_65	H2-6-seq_386	L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
8f6e	cadmium_and_zinc_efflux_pump_fief	H1-7-seq_260	H2-6-seq_197	L1-11-seq_36	L2-7-seq_67	L3-10-seq_74
8g30	neuraminidase	H1-7-seq_185	H2-6-seq_133	L1-11-seq_118	L2-7-seq_33	L3-10-seq_148
8g3m	neuraminidase	H1-7-seq_186	H2-6-seq_134	L1-11-seq_119	L2-7-seq_386	L3-10-seq_148
8g3q	neuraminidase	H1-7-seq_187	H2-6-seq_135	L1-11-seq_257	L2-7-seq_33	L3-10-seq_148
8gav	neuraminidase	H1-7-seq_577	H2-6-seq_81	L1-14-seq_17	L2-7-seq_577	L3-10-seq_26
8gdr	spike_glycoprotein	H1-9-seq_12		L1-14-seq_53	L2-7-seq_332	L3-10-seq_23
8gf2	spike_protein_s1	H1-7-seq_157	H2-6-seq_111	L1-11-seq_33	L2-7-seq_33	L3-9-seq_100
8ghk	hemagglutinin	H1-7-seq_61	H2-8-seq_1	L1-11-seq_37	L2-7-seq_68	L3-9-seq_36
8gnh	spike_glycoprotein	H1-7-seq_154		L1-11-seq_33	L2-7-seq_290	L3-8-seq_30
8gpx	envelope_protein	H1-7-seq_297	H2-6-seq_226	L1-12-seq_42	L2-7-seq_386	L3-10-seq_82
8gpy	spike_protein_s1	H1-7-seq_321	H2-6-seq_109	L1-14-seq_53	L2-7-seq_450	L3-9-seq_97
8gsb	spike_protein_s1	H1-7-seq_152	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
8gto	spike_glycoprotein	H1-7-seq_3	H2-6-seq_122	L1-13-seq_14	L2-7-seq_196	L3-11-seq_14
8gy5	programmed_cell_death_protein_1	H1-7-seq_147	H2-6-seq_104	L1-11-seq_93	L2-7-seq_169	L3-9-seq_93
8gye	tumor_necrosis_factor_receptor_superfamily_member_9	H1-7-seq_149		L1-11-seq_95	L2-7-seq_684	L3-9-seq_94
8h07	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_121	L2-7-seq_494	L3-9-seq_115
8h7l	spike_glycoprotein	H1-7-seq_317	H2-6-seq_386	L1-11-seq_98	L2-7-seq_177	L3-9-seq_98
8hc2	spike_glycoprotein	H1-7-seq_641		L1-11-seq_162	L2-7-seq_65	L3-10-seq_75
8hes	spike_protein_s1	H1-7-seq_139	H2-6-seq_99	L1-14-seq_53	L2-7-seq_577	L3-11-seq_23
8hgl	spike_glycoprotein	H1-7-seq_142	H2-6-seq_468	L1-12-seq_24	L2-7-seq_33	L3-9-seq_87
8hlc	spike_glycoprotein	H1-7-seq_577	H2-6-seq_366	L1-11-seq_1	L2-7-seq_673	L3-9-seq_43
8hld	spike_glycoprotein	H1-7-seq_678	H2-6-seq_57	L1-11-seq_386	L2-7-seq_79	L3-9-seq_185
8hn6	spike_protein_s1	H1-7-seq_641		L1-11-seq_225	L2-7-seq_65	L3-9-seq_124
8hn7	spike_protein_s1	H1-7-seq_65	H2-6-seq_145	L1-11-seq_33	L2-7-seq_229	L3-9-seq_164
8hp9	spike_protein_s2'	H1-9-seq_37		L1-12-seq_18	L2-7-seq_33	L3-9-seq_76
8hrd	spike_protein_s1	H1-7-seq_127	H2-6-seq_168	L1-14-seq_34	L2-7-seq_545	L3-10-seq_32
8hws	spike_protein_s2'	H1-7-seq_129		L1-11-seq_56	L2-7-seq_65	L3-9-seq_81
8i3u	spike_glycoprotein	H1-7-seq_148	H2-6-seq_105	L1-11-seq_94	L2-7-seq_33	L3-10-seq_148
8j1q	spike_protein_s1	H1-7-seq_178	H2-6-seq_386	L1-14-seq_53	L2-7-seq_577	L3-10-seq_45
8j1t	spike_protein	H1-7-seq_641		L1-11-seq_225	L2-7-seq_65	L3-11-seq_21
8jel	t-cell_immunoreceptor_with_ig_and_itim_domains	H1-7-seq_577	H2-6-seq_82	L1-11-seq_144	L2-7-seq_129	L3-9-seq_71
8jio	spike_glycoprotein	H1-7-seq_449		L1-11-seq_225	L2-7-seq_65	L3-9-seq_52
8jiz	glutamate_receptor_ionotropic,_nmda_1	H1-7-seq_215	H2-6-seq_55	L1-11-seq_42	L2-7-seq_76	L3-9-seq_408
8jmm	spike_glycoprotein	H1-7-seq_73	H2-6-seq_58	L1-11-seq_33	L2-7-seq_290	L3-10-seq_17
8k18	spike_protein_s1	H1-7-seq_36		L1-11-seq_18	L2-7-seq_40	L3-9-seq_19
8k5g	spike_protein_s1	H1-7-seq_126	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
8kdr	spike_glycoprotein	H1-7-seq_165		L1-11-seq_23	L2-7-seq_681	L3-10-seq_13
8keo	spike_glycoprotein	H1-7-seq_47	H2-6-seq_39	L1-12-seq_96	L2-7-seq_54	L3-9-seq_25
8kfa	envelope_glycoprotein_b	H1-7-seq_576	H2-6-seq_90	L1-11-seq_225	L2-7-seq_142	L3-9-seq_77
8khc	spike_glycoprotein	H1-7-seq_100	H2-8-seq_5	L1-11-seq_61	L2-7-seq_110	L3-11-seq_16
8oz3	tumor_necrosis_factor_receptor_superfamily_member_9	H1-7-seq_107	H2-6-seq_77	L1-11-seq_257	L2-7-seq_387	L3-10-seq_139
8pq2	spike_protein_s2'	H1-7-seq_141		L1-11-seq_244	L2-7-seq_160	L3-9-seq_86
8pwh	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_117	H2-6-seq_33	L1-11-seq_74	L2-7-seq_132	L3-9-seq_13
8pwu	reticulocyte-binding_protein_homolog_5	H1-7-seq_449		L1-11-seq_244	L2-7-seq_257	L3-9-seq_45
8pwv	reticulocyte-binding_protein_homolog_5	H1-7-seq_549	H2-6-seq_59	L1-16-seq_33	L2-7-seq_83	L3-8-seq_7
8pww	reticulocyte-binding_protein_homolog_5	H1-7-seq_76		L1-11-seq_384	L2-7-seq_84	L3-9-seq_46
8pwx	reticulocyte-binding_protein_homolog_5	H1-7-seq_65	H2-6-seq_60	L1-11-seq_33	L2-7-seq_65	L3-9-seq_425
8q5y	spike_glycoprotein	H1-7-seq_55	H2-6-seq_46	L1-11-seq_31	L2-7-seq_1	L3-9-seq_30
8qh0	spike_protein_s1	H1-7-seq_578		L1-12-seq_1	L2-7-seq_33	
8qkr	reticulocyte-binding_protein-like_protein_5	H1-7-seq_577	H2-6-seq_33	L1-11-seq_33	L2-7-seq_740	L3-10-seq_14
8qpr	spike_glycoprotein,fibritin	H1-7-seq_603	H2-6-seq_88	L1-14-seq_53	L2-7-seq_97	L3-10-seq_65
8qq0	spike_glycoprotein,fibritin	H1-7-seq_425	H2-6-seq_33	L1-14-seq_20	L2-7-seq_97	L3-10-seq_30
8qrf	spike_protein_s1	H1-7-seq_233	H2-6-seq_68	L1-12-seq_1	L2-7-seq_33	L3-10-seq_20
8qzr	spike_protein_s1	H1-7-seq_101	H2-6-seq_73	L1-11-seq_33	L2-7-seq_290	L3-10-seq_22
8r1c	spike_glycoprotein,fibritin	H1-9-seq_57		L1-14-seq_101	L2-7-seq_122	L3-10-seq_25
8r1d	spike_glycoprotein,fibritin	H1-7-seq_33	H2-6-seq_78	L1-11-seq_386	L2-7-seq_123	L3-9-seq_190
8r8k	spike_glycoprotein	H1-7-seq_100	H2-8-seq_4	L1-11-seq_55	L2-7-seq_65	L3-9-seq_57
8r9w	spike_protein	H1-7-seq_65	H2-6-seq_61	L1-11-seq_228	L2-7-seq_386	L3-8-seq_8
8r9y	spike_protein	H1-7-seq_65	H2-6-seq_62	L1-11-seq_51	L2-7-seq_65	L3-9-seq_48
8rgz	envelope_glycoprotein_b	H1-9-seq_7		L1-16-seq_28	L2-7-seq_71	L3-9-seq_38
8rh0	envelope_glycoprotein_b	H1-7-seq_64	H2-6-seq_52	L1-11-seq_199	L2-7-seq_484	L3-9-seq_39
8rp8	leukocyte_surface_antigen_cd47	H1-7-seq_65	H2-6-seq_257	L1-11-seq_33	L2-7-seq_65	L3-10-seq_15
8rpb	programmed_cell_death_1_ligand_1	H1-7-seq_65	H2-6-seq_257	L1-14-seq_11	L2-7-seq_74	L3-11-seq_12
8s6m	spike_protein_s1	H1-7-seq_33	H2-6-seq_386	L1-14-seq_101	L2-7-seq_38	L3-10-seq_9
8sar	ch848.10.17_gp120	H1-7-seq_222	H2-6-seq_153	L1-14-seq_36	L2-7-seq_582	L3-10-seq_52
8sas	ch848.10.17_gp120	H1-7-seq_222	H2-6-seq_161	L1-14-seq_47	L2-7-seq_242	L3-10-seq_52
8sau	ch848.10.17_gp120	H1-7-seq_213	H2-6-seq_161	L1-14-seq_47	L2-7-seq_252	L3-10-seq_52
8sax	ch848.10.17.sosip_gp120	H1-7-seq_603	H2-6-seq_33	L1-14-seq_101	L2-7-seq_97	L3-10-seq_25
8say	ch848.10.17_gp120	H1-7-seq_215	H2-6-seq_162	L1-14-seq_101	L2-7-seq_245	L3-10-seq_56
8saz	envelope_glycoprotein_gp160	H1-7-seq_577	H2-6-seq_291	L1-14-seq_47	L2-7-seq_97	L3-10-seq_25
8sb0	ch848.10.17.sosip_gp120	H1-7-seq_577	H2-6-seq_162	L1-14-seq_47	L2-7-seq_122	L3-10-seq_25
8sb1	ch848.10.17_gp120	H1-7-seq_577	H2-6-seq_291	L1-14-seq_47	L2-7-seq_582	L3-10-seq_25
8sb2	ch848.10.17.sosip_gp120	H1-7-seq_222	H2-6-seq_161	L1-14-seq_47	L2-7-seq_582	L3-10-seq_52
8sb3	ch848.10.17_gp120	H1-7-seq_577	H2-6-seq_162	L1-14-seq_47	L2-7-seq_250	L3-10-seq_25
8sb4	ch848.10.17_gp120	H1-7-seq_577	H2-6-seq_162	L1-14-seq_47	L2-7-seq_582	L3-10-seq_62
8sb5	ch848.10.17.sosip_gp120	H1-7-seq_222	H2-6-seq_161	L1-14-seq_47	L2-7-seq_252	L3-10-seq_52
8sdg	spike_protein_s1	H1-7-seq_109	H2-8-seq_6	L1-11-seq_70	L2-7-seq_124	L3-11-seq_17
8sdh	spike_protein_s1	H1-7-seq_48	H2-6-seq_34	L1-11-seq_199	L2-7-seq_55	L3-11-seq_11
8siq	spike_protein_s1	H1-7-seq_110		L1-14-seq_34	L2-7-seq_545	L3-11-seq_91
8sis	spike_protein_s1	H1-7-seq_678	H2-6-seq_10	L1-12-seq_11	L2-7-seq_33	L3-9-seq_70
8sit	spike_protein_s1	H1-7-seq_488	H2-6-seq_80	L1-11-seq_199	L2-7-seq_641	L3-11-seq_53
8suo	spike_protein_s1	H1-7-seq_87	H2-6-seq_193	L1-14-seq_53	L2-7-seq_97	L3-8-seq_12
8swh	spike_glycoprotein	H1-7-seq_293	H2-6-seq_491	L1-16-seq_15	L2-7-seq_71	L3-9-seq_163
8sxj	envelope_glycoprotein_gp160	H1-7-seq_321	H2-6-seq_87	L1-11-seq_78	L2-7-seq_386	L3-8-seq_31
8szy	t-cell_immunoreceptor_with_ig_and_itim_domains	H1-7-seq_98	H2-6-seq_362	L1-16-seq_14	L2-7-seq_172	L3-9-seq_95
8t9z	fusion_glycoprotein_f0	H1-7-seq_65	H2-6-seq_95	L1-11-seq_85	L2-7-seq_150	L3-9-seq_300
8tgv	envelope_glycoprotein_e2	H1-7-seq_53	H2-6-seq_44	L1-11-seq_29	L2-7-seq_353	L3-9-seq_28
8thz	envelope_glycoprotein_e2	H1-7-seq_394	H2-6-seq_519	L1-11-seq_33	L2-7-seq_61	L3-9-seq_29
8tma	spike_glycoprotein	H1-9-seq_16		L1-11-seq_70	L2-7-seq_740	L3-10-seq_31
8tnl	hemagglutinin	H1-7-seq_89		L1-16-seq_33	L2-7-seq_98	L3-9-seq_141
8toa	hemagglutinin	H1-7-seq_90		L1-16-seq_10	L2-7-seq_99	L3-9-seq_56
8tp2	hemagglutinin	H1-7-seq_144		L1-11-seq_228	L2-7-seq_33	L3-9-seq_48
